component,factor,base_system_failure,new_system_failure,delta_failure
j2,10.0,7.7037587974962e-08,2.4458087776980794e-07,1.6754328979484592e-07
j3,10.0,7.7037587974962e-08,2.3935676581246486e-07,1.6231917783750284e-07
j4,10.0,7.7037587974962e-08,2.065140343970418e-07,1.294764464220798e-07
j1,10.0,7.7037587974962e-08,2.026023372537629e-07,1.2556474927880088e-07
j5,10.0,7.7037587974962e-08,1.706853478589445e-07,9.364775988398249e-08
gripper,10.0,7.7037587974962e-08,8.995453465950845e-08,1.2916946684546443e-08
camera,10.0,7.7037587974962e-08,7.890740047652701e-08,1.86981250156501e-09
power_supply,10.0,7.7037587974962e-08,7.703758962781424e-08,1.6528522359105218e-15
sensors,10.0,7.7037587974962e-08,7.703758927412845e-08,1.2991664422393268e-15
controller,10.0,7.7037587974962e-08,7.703758797497943e-08,1.74303498677174e-20
