component,factor,base_system_failure,new_system_failure,delta_failure
j7,10.0,0.0003697920262893142,0.0008975008518110087,0.0005277088255216946
j3,10.0,0.0003697920262893142,0.0008163272849064742,0.00044653525861716004
j5,10.0,0.0003697920262893142,0.0007934548217276847,0.0004236627954383705
j1,10.0,0.0003697920262893142,0.0007814557698632139,0.0004116637435738997
gripper,10.0,0.0003697920262893142,0.0007739663732660205,0.0004041743469767063
j6,10.0,0.0003697920262893142,0.0007519289724678492,0.00038213694617853503
j2,10.0,0.0003697920262893142,0.0007313623448358197,0.0003615703185465055
j4,10.0,0.0003697920262893142,0.0007218262280895959,0.0003520342018002817
camera,10.0,0.0003697920262893142,0.00038582675285990016,1.603472657058598e-05
power_supply,10.0,0.0003697920262893142,0.0003697950873321224,3.0610428082252297e-09
sensors,10.0,0.0003697920262893142,0.0003697944323143882,2.40602507399967e-09
controller,10.0,0.0003697920262893142,0.0003697920263215805,3.226634454414623e-14
