run_id,start_idx,end_idx,n_samples,duration_sec,success,pos_err,goal_x,goal_y,final_x,final_y,noise_strength_max,blur_strength_max,brightness_strength_max,group
0,0,999,1000,9.990000000000686,True,0.0018496905591134372,0.2,-0.15,0.20184969055911345,-0.15159691374273404,0.0,0.0,0.0,normal
1,1000,2000,1001,9.999999999996197,True,0.0027464462992480287,0.2,-0.15,0.20274644629924804,-0.15122209401821782,0.0,0.0,0.0,normal
2,2001,3000,1000,9.990000000001675,True,0.009617776465988853,0.2,-0.15,0.20961777646598886,-0.15249297430748016,0.0,0.0,0.0,normal
3,3001,4000,1000,9.99000000001221,True,0.0024537264624236166,0.2,-0.15,0.20060926939048862,-0.14754627353757638,0.0,0.0,0.0,normal
4,4001,5000,1000,9.99000000001221,True,0.01529171842922894,0.2,-0.15,0.21529171842922895,-0.14357513298552244,0.0,0.0,0.0,normal
5,5001,6001,1001,9.999999999983437,True,0.01498440790560282,0.2,-0.15,0.2089656080731944,-0.13501559209439717,0.0,0.0,0.0,normal
6,6002,7002,1001,9.999999999976694,True,0.008663786061948342,0.2,-0.15,0.19787759224541182,-0.15866378606194834,0.0,0.0,0.0,normal
7,7003,8003,1001,9.999999999976694,True,0.006624821893957994,0.2,-0.15,0.206624821893958,-0.15067464225395902,0.0,0.0,0.0,normal
8,8004,9004,1001,9.999999999976694,True,0.010764410791773704,0.2,-0.15,0.21076441079177372,-0.1585943551891166,0.0,0.0,0.0,normal
9,9005,10005,1001,9.999999999976694,True,0.008845004946522156,0.2,-0.15,0.20884500494652217,-0.15424474311287578,0.0,0.0,0.0,normal
10,10006,11005,1000,9.99000000000683,True,0.010389594133730029,0.2,-0.15,0.20339287242871978,-0.16038959413373002,0.0,0.0,0.0,normal
11,11006,12005,1000,9.9900000000477,True,0.010861198466146332,0.2,-0.15,0.21086119846614634,-0.15418887067197168,0.0,0.0,0.0,normal
12,12006,13005,1000,9.9900000000477,True,0.0074766369607282,0.2,-0.15,0.20658675234628737,-0.1574766369607282,0.0,0.0,0.0,normal
13,13006,14005,1000,9.9900000000477,True,0.0018334129404586064,0.2,-0.15,0.20145264372512045,-0.1518334129404586,0.0,0.0,0.0,normal
14,14006,15005,1000,9.9900000000477,True,0.012683141999801306,0.2,-0.15,0.21268314199980132,-0.15245492973275213,0.0,0.0,0.0,normal
15,15006,16005,1000,9.9900000000477,True,0.011516337315858105,0.2,-0.15,0.21151633731585812,-0.1480175965375282,0.0,0.0,0.0,normal
16,16006,17005,1000,9.9900000000477,True,0.008673741783772754,0.2,-0.15,0.20867374178377276,-0.1488622883557833,0.0,0.0,0.0,normal
