component,factor,base_system_failure,new_system_failure,delta_failure
j3,10.0,6.382349587098078e-08,2.0078724659839048e-07,1.369637507274097e-07
j2,10.0,6.382349587098078e-08,1.997948546284125e-07,1.359713587574317e-07
j1,10.0,6.382349587098078e-08,1.705785120204683e-07,1.0675501614948752e-07
j4,10.0,6.382349587098078e-08,1.6903838654480093e-07,1.0521489067382015e-07
j5,10.0,6.382349587098078e-08,1.4240278452149923e-07,7.857928865051845e-08
gripper,10.0,6.382349587098078e-08,7.310042371941089e-08,9.276927848430112e-09
camera,10.0,6.382349587098078e-08,6.547365214209585e-08,1.650156271115078e-09
power_supply,10.0,6.382349587098078e-08,6.382349723375002e-08,1.3627692462761458e-15
sensors,10.0,6.382349587098078e-08,6.382349694213753e-08,1.071156753367045e-15
controller,10.0,6.382349587098078e-08,6.382349587099515e-08,1.437309032372141e-20
