platform,experiment_id,scenario,policy,skill,failure_probability_contribution,share_of_total_percent,system_failure_probability_per_run
real,real_bottle_empty_act,Empty bottle,ACT,Move,1.2408802746609355e-07,21.058979561776173,5.892404572694671e-07
real,real_bottle_empty_act,Empty bottle,ACT,Pick,2.0169654457742445e-07,34.22992126373734,5.892404572694671e-07
real,real_bottle_empty_act,Empty bottle,ACT,Carry,1.577614129360452e-07,26.77368992399293,5.892404572694671e-07
real,real_bottle_empty_act,Empty bottle,ACT,Place,1.0569447228990401e-07,17.93740925049357,5.892404572694671e-07
real,real_bottle_empty_pi05,Empty bottle,π0.5,Move,1.2846631489267874e-07,23.882247796481565,5.379155094086451e-07
real,real_bottle_empty_pi05,Empty bottle,π0.5,Pick,1.814934891319291e-07,33.74014802649084,5.379155094086451e-07
real,real_bottle_empty_pi05,Empty bottle,π0.5,Carry,1.3715444687455333e-07,25.497395868978277,5.379155094086451e-07
real,real_bottle_empty_pi05,Empty bottle,π0.5,Place,9.080125850948388e-08,16.88020830804931,5.379155094086451e-07
real,real_bottle_empty_smolvla,Empty bottle,SmolVLA,Move,1.0284624513425206e-07,18.858656271568087,5.453529862003283e-07
real,real_bottle_empty_smolvla,Empty bottle,SmolVLA,Pick,1.9900377118330088e-07,36.49081901427408,5.453529862003283e-07
real,real_bottle_empty_smolvla,Empty bottle,SmolVLA,Carry,1.4312964921499216e-07,26.245322357584993,5.453529862003283e-07
real,real_bottle_empty_smolvla,Empty bottle,SmolVLA,Place,1.0037332066778323e-07,18.40520235657285,5.453529862003283e-07
real,real_bottle_full_act,Full bottle,ACT,Move,1.0376836849878072e-07,18.163678308571892,5.712960047845035e-07
real,real_bottle_full_act,Full bottle,ACT,Pick,2.0358568599059296e-07,35.635762246821024,5.712960047845035e-07
real,real_bottle_full_act,Full bottle,ACT,Carry,1.5441199227596965e-07,27.0283690035982,5.712960047845035e-07
real,real_bottle_full_act,Full bottle,ACT,Place,1.0952995801916016e-07,19.17219044100887,5.712960047845035e-07
real,real_bottle_full_pi05,Full bottle,π0.5,Move,1.1722398245600195e-07,22.40560052717196,5.231905403019251e-07
real,real_bottle_full_pi05,Full bottle,π0.5,Pick,1.9720850883547123e-07,37.69343931976776,5.231905403019251e-07
real,real_bottle_full_pi05,Full bottle,π0.5,Carry,1.3083847237980382e-07,25.00780543629458,5.231905403019251e-07
real,real_bottle_full_pi05,Full bottle,π0.5,Place,7.791957663064815e-08,14.893154716765705,5.231905403019251e-07
real,real_bottle_full_smolvla,Full bottle,SmolVLA,Move,1.7582225062328393e-07,29.12059539146363,6.037728564946313e-07
real,real_bottle_full_smolvla,Full bottle,SmolVLA,Pick,2.1987878711505789e-07,36.41746805108537,6.037728564946313e-07
real,real_bottle_full_smolvla,Full bottle,SmolVLA,Carry,1.246858418796491e-07,20.651117475460378,6.037728564946313e-07
real,real_bottle_full_smolvla,Full bottle,SmolVLA,Place,8.338597687664045e-08,13.810819081990633,6.037728564946313e-07
real,real_sorting_act,Color sorting,ACT,Move,2.490569483996033e-07,37.36383586112337,6.665722152439495e-07
real,real_sorting_act,Color sorting,ACT,Pick,2.0557192152648557e-07,30.84015757411238,6.665722152439495e-07
real,real_sorting_act,Color sorting,ACT,Carry,9.266492440230922e-08,13.901708214524975,6.665722152439495e-07
real,real_sorting_act,Color sorting,ACT,Place,1.192784209155515e-07,17.894298350239286,6.665722152439495e-07
real,real_sorting_pi05,Color sorting,π0.5,Move,1.8911567285121055e-07,34.194146651226426,5.530644609445975e-07
real,real_sorting_pi05,Color sorting,π0.5,Pick,1.8168619157762878e-07,32.850816569793835,5.530644609445975e-07
real,real_sorting_pi05,Color sorting,π0.5,Carry,7.38360252175134e-08,13.3503470990355,5.530644609445975e-07
real,real_sorting_pi05,Color sorting,π0.5,Place,1.0842657129824474e-07,19.60468967994424,5.530644609445975e-07
real,real_sorting_smolvla,Color sorting,SmolVLA,Move,2.1621685922236418e-07,35.94811977429553,6.014691744099747e-07
real,real_sorting_smolvla,Color sorting,SmolVLA,Pick,1.8631678151682272e-07,30.976946025470806,6.014691744099747e-07
real,real_sorting_smolvla,Color sorting,SmolVLA,Carry,7.748465264853812e-08,12.882564218614945,6.014691744099747e-07
real,real_sorting_smolvla,Color sorting,SmolVLA,Place,1.214508810222497e-07,20.19236998161872,6.014691744099747e-07
